epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
98,1972.15,0.33393,0.04404,0.0546,0.44144,0.85745,0.8682,0.83337,0.85444,0.78791,0.24365,0.2399,0.24549,0.2378,0.35261,0.03398,0.00941,0.34584,0.88323,0.000273441,0.000273441,0.000273441
99,1992.21,0.34005,0.04821,0.0648,0.43723,0.8442,0.88397,0.80652,0.85222,0.78477,0.3245,0.21585,0.25083,0.24161,0.37324,0.03393,0.009,0.34801,0.88827,0.000270837,0.000270837,0.000270837
100,2012.41,0.31626,0.0368,0.06933,0.46364,0.8569,0.86364,0.83319,0.85159,0.77463,0.23537,0.23546,0.24409,0.23582,0.37299,0.03557,0.01498,0.35998,0.89037,0.000268234,0.000268234,0.000268234
101,2032.74,0.32419,0.03986,0.0617,0.41915,0.85122,0.83101,0.85174,0.846,0.77181,0.23858,0.23424,0.24569,0.23578,0.38219,0.03407,0.01584,0.39542,0.89169,0.00026563,0.00026563,0.00026563
102,2053.12,0.33193,0.04153,0.06662,0.44653,0.86501,0.83698,0.83428,0.83749,0.76862,0.23981,0.23884,0.24998,0.23737,0.37797,0.03373,0.01202,0.39342,0.89599,0.000263026,0.000263026,0.000263026
103,2073.15,0.32008,0.03652,0.051,0.41806,0.84738,0.84302,0.81917,0.83644,0.76938,0.23406,0.23424,0.24352,0.23542,0.36056,0.03509,0.00899,0.38187,0.88399,0.000260423,0.000260423,0.000260423
104,2093.26,0.31605,0.03909,0.06755,0.42194,0.85098,0.82742,0.83837,0.85024,0.78481,0.23838,0.22734,0.24486,0.23851,0.36185,0.03127,0.00734,0.37257,0.88329,0.000257819,0.000257819,0.000257819
105,2113.53,0.33183,0.04179,0.04906,0.44,0.83918,0.85325,0.81322,0.83731,0.77556,0.2442,0.22848,0.24531,0.23752,0.36559,0.03324,0.01062,0.37651,0.89291,0.000255215,0.000255215,0.000255215
106,2133.57,0.34045,0.04849,0.05126,0.44851,0.84705,0.86984,0.81089,0.84626,0.77856,0.25368,0.23654,0.24999,0.23852,0.36955,0.03164,0.00904,0.35652,0.88986,0.000252611,0.000252611,0.000252611
107,2153.6,0.32789,0.03895,0.05865,0.42486,0.84846,0.90375,0.78895,0.84648,0.78035,0.24458,0.24344,0.25066,0.2397,0.3672,0.03372,0.00793,0.37463,0.88404,0.000250008,0.000250008,0.000250008
108,2173.44,0.3382,0.03922,0.05605,0.4219,0.8629,0.81307,0.8359,0.83923,0.77609,0.24243,0.23884,0.24537,0.23552,0.36504,0.0321,0.01489,0.36129,0.88878,0.000247404,0.000247404,0.000247404
109,2193.45,0.30645,0.03181,0.05945,0.3885,0.83901,0.83955,0.82597,0.83605,0.77159,0.24454,0.23884,0.24503,0.23691,0.37471,0.03096,0.01177,0.3508,0.89364,0.0002448,0.0002448,0.0002448
110,2213.34,0.30779,0.03358,0.04209,0.40149,0.85172,0.81986,0.83587,0.84106,0.77781,0.23686,0.23809,0.2419,0.23539,0.37066,0.03121,0.00708,0.37939,0.89306,0.000242197,0.000242197,0.000242197
111,2233.61,0.32523,0.04474,0.06529,0.42674,0.84883,0.80944,0.84674,0.83962,0.7784,0.32516,0.22505,0.24312,0.23481,0.35503,0.03502,0.00951,0.35985,0.88707,0.000239593,0.000239593,0.000239593
112,2253.6,0.31741,0.03618,0.0568,0.41578,0.85108,0.8393,0.81914,0.84376,0.77021,0.31937,0.22611,0.24508,0.23718,0.38044,0.03665,0.01422,0.36839,0.89628,0.000236989,0.000236989,0.000236989
