epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,2330.2,0.46545,0.03929,0.12546,0.68578,0.85722,0.69816,0.94643,0.80209,0.74741,0.30427,0.52413,0.37566,0.37566,0.35945,0.01279,0.01263,0.59163,0.80415,0.000144077,0.000144077,0.000144077
104,2352.99,0.46443,0.06327,0.12098,0.68718,0.85705,0.67779,0.9192,0.78873,0.7364,0.28689,0.49965,0.3623,0.3623,0.35471,0.01405,0.01359,0.6006,0.80366,0.000136577,0.000136577,0.000136577
105,2376.49,0.43716,0.06702,0.14593,0.68233,0.85607,0.73681,0.9156,0.82627,0.76134,0.34265,0.48703,0.39984,0.39984,0.37256,0.01429,0.01437,0.5967,0.80622,0.000129078,0.000129078,0.000129078
106,2398.82,0.46493,0.06957,0.13733,0.68986,0.87408,0.70472,0.94643,0.84224,0.78896,0.31124,0.51786,0.41581,0.41581,0.34672,0.0149,0.01432,0.5851,0.8013,0.000121579,0.000121579,0.000121579
107,2421.53,0.43754,0.05706,0.10955,0.65165,0.85558,0.72373,0.96429,0.81475,0.76212,0.32698,0.53571,0.38832,0.38832,0.34079,0.01402,0.01264,0.59008,0.80092,0.00011408,0.00011408,0.00011408
108,2444.23,0.44331,0.0466,0.12824,0.65444,0.85703,0.73342,0.96429,0.81064,0.75515,0.33593,0.53571,0.38421,0.38421,0.36524,0.01443,0.01125,0.60234,0.80468,0.00010658,0.00010658,0.00010658
109,2466.79,0.4314,0.04997,0.09663,0.68657,0.86303,0.72587,0.93545,0.81083,0.76029,0.32932,0.52485,0.3844,0.3844,0.35218,0.01434,0.01132,0.60459,0.80328,9.9081e-05,9.9081e-05,9.9081e-05
110,2489.47,0.45186,0.06389,0.16489,0.71328,0.85933,0.72456,0.94235,0.82065,0.77563,0.3259,0.51746,0.39422,0.39422,0.342,0.01424,0.01247,0.60186,0.80164,9.15818e-05,9.15818e-05,9.15818e-05
111,2512.06,0.36996,0.0368,0.04557,0.5883,0.81278,0.70123,0.92857,0.81139,0.77154,0.29983,0.50673,0.38497,0.38497,0.3273,0.01607,0.01236,0.5979,0.79914,8.40825e-05,8.40825e-05,8.40825e-05
112,2534.43,0.33382,0.03038,0.03073,0.58232,0.80425,0.73163,0.90319,0.82393,0.77867,0.33446,0.47586,0.39751,0.39751,0.30767,0.01635,0.01221,0.58213,0.79485,7.65832e-05,7.65832e-05,7.65832e-05
113,2556.48,0.3647,0.08232,0.0588,0.60706,0.81794,0.70896,0.97113,0.84657,0.80265,0.31737,0.5438,0.42014,0.42014,0.30036,0.0175,0.01183,0.55697,0.79305,6.9084e-05,6.9084e-05,6.9084e-05
